메모,내역,금액,유형,날짜
,병원,25200,생활비,2022년 12월 29일
,점심,12500,식비,2022년 12월 28일
,성악레슨,40000,생활비,2022년 12월 27일
,점심,10000,식비,2022년 12월 27일
,이모 생일 축하 쿠폰,31000,전도비,2022년 12월 27일
,점심,9500,식비,2022년 12월 26일
,동생과 치킨,25220,전도비,2022년 12월 25일
,주일헌금,20000,헌금,2022년 12월 24일
,십일조,216666,헌금,2022년 12월 24일
,교회학교,10000,헌금,2022년 12월 24일
,해외선교,10000,헌금,2022년 12월 24일
,청년회비 1월,20000,교제비,2022년 12월 24일
,구역회비,10000,교제비,2022년 12월 24일
,찬양대 회비,10000,교제비,2022년 12월 24일
,어머니,500000,생활비,2022년 12월 24일
,아이들 용돈,55000,전도비,2022년 12월 23일
,아이들 간식,10000,전도비,2022년 12월 23일
,점심,8000,식비,2022년 12월 22일
,저녁 핫바,2000,비상금,2022년 12월 22일
,레슨 선생님 음료수,2000,전도비,2022년 12월 22일
,슈가폴_황 철하씨 생일 축하 쿠폰,13500,전도비,2022년 12월 21일
,어머니 유튜브로 말씀 들으시길레 한동안 일 하지 말고 쉬시라 말한 후 용돈 드림,461000,교제비,2022년 12월 21일
,점심,9500,식비,2022년 12월 21일
,점심,12500,식비,2022년 12월 20일
,점심,8500,식비,2022년 12월 19일
,슈가폴_오 연구원님 생일 축하 쿠폰,13500,전도비,2022년 12월 18일
,동생과 치킨,27645,전도비,2022년 12월 17일
,택시비,6400,비상금,2022년 12월 17일
,11월 교통비,82300,생활비,2022년 12월 17일
,점심,9000,식비,2022년 12월 16일
,점심,9000,식비,2022년 12월 14일
,안 과장님 김밥 사드림,4000,전도비,2022년 12월 14일
,만나_1년 정기,18000,비상금,2022년 12월 13일
,점심,9500,식비,2022년 12월 12일
,운동화,39800,생활비,2022년 12월 12일
,가방,19800,생활비,2022년 12월 12일
,청년회비,20000,교제비,2022년 12월 11일
,샴푸_탈모용,19980,비상금,2022년 12월 11일
,치킨,24250,전도비,2022년 12월 9일
,권정민 커피,7500,전도비,2022년 12월 9일
,점심,12500,식비,2022년 12월 9일
,통신 요금,49140,생활비,2022년 12월 9일
,점심,8500,식비,2022년 12월 7일
,상훈b와 저녁,19000,교제비,2022년 12월 7일
,상훈b와 사이다,2200,교제비,2022년 12월 7일
,간식,3500,비상금,2022년 12월 6일
,병원,25200,생활비,2022년 12월 6일
,대헌이 용돈,30000,전도비,2022년 12월 5일
,머리자름,12000,생활비,2022년 12월 5일
,보험,23560,생활비,2022년 12월 5일
,작은누나_아이스크림,26500,교제비,2022년 12월 4일
,택시비,6100,비상금,2022년 12월 4일
,진우 b 축의금,100000,교제비,2022년 12월 3일
,인출 수수료,800,비상금,2022년 12월 3일
,택시비,6900,비상금,2022년 12월 3일
,점심,12500,식비,2022년 12월 2일
,아침,1500,비상금,2022년 12월 1일
,점심,8000,식비,2022년 12월 1일
,형제와 간식,4500,교제비,2022년 11월 30일
,저녁,2800,비상금,2022년 11월 30일
,점심,2800,식비,2022년 11월 30일
,어머니 방한품_넥게이터,10950,비상금,2022년 11월 30일
,어머니 방한푼_장갑,16900,비상금,2022년 11월 30일
,어머니 방한품_모자,39800,비상금,2022년 11월 30일
,어머니 방한품_깔깔이,22000,비상금,2022년 11월 30일
,어머니 방판품_발바닥핫팩,26800,비상금,2022년 11월 30일
,레슨비,20000,생활비,2022년 11월 29일
,점심,10000,식비,2022년 11월 29일
,한우가,3000,비상금,2022년 11월 28일
,코레일 유통주식,2200,비상금,2022년 11월 28일
,약국,2000,비상금,2022년 11월 28일
,점심,10000,식비,2022년 11월 28일
,상훈 b 생일,13500,교제비,2022년 11월 28일
,권정민과 햄버거,16800,전도비,2022년 11월 26일
,점심,8000,식비,2022년 11월 25일
,십일조,216666,헌금,2022년 11월 25일
,찬양대 회비,10000,교제비,2022년 11월 25일
,구역회비,10000,교제비,2022년 11월 25일
,주일헌금,20000,헌금,2022년 11월 25일
,청년회비,10000,교제비,2022년 11월 25일
,어머니,530000,생활비,2022년 11월 25일
,레슨비,40000,생활비,2022년 11월 25일
,에어프라이기,112430,비상금,2022년 11월 24일
,어머니 목도리,19887,교제비,2022년 11월 24일
,"미용_마유크림, 비오팅",40506,비상금,2022년 11월 24일
,쿠팡_치킨,11900,비상금,2022년 11월 24일
,쿠팡 와우 월회비,4990,생활비,2022년 11월 24일
,점심,10000,식비,2022년 11월 24일
,점심,6500,식비,2022년 11월 23일
,형제님과 간신,7750,교제비,2022년 11월 23일
,점심,12500,식비,2022년 11월 22일
,점심,8000,식비,2022년 11월 21일
,간식,2900,비상금,2022년 11월 20일
,택시,6400,비상금,2022년 11월 20일
,아이들 간식,10700,전도비,2022년 11월 19일
,현금_미상,30000,,2022년 11월 19일
,음료 등,5780,전도비,2022년 11월 19일
,아이들 용돈,50000,전도비,2022년 11월 19일
,현경이 생일,32900,전도비,2022년 11월 19일
,권정민 취업 축하 밥 사줌,47800,전도비,2022년 11월 18일
,점심,11500,식비,2022년 11월 18일
,"폴, 원석b와 찜닭",35000,전도비,2022년 11월 17일
,아침,2000,비상금,2022년 11월 17일
,점심,2400,식비,2022년 11월 17일
,점심,6000,식비,2022년 11월 16일
,형제와 간식,3800,교제비,2022년 11월 15일
,통신비,49140,생활비,2022년 11월 15일
,점심,8000,식비,2022년 11월 15일
,고기,33271,비상금,2022년 11월 14일
,점심,10000,식비,2022년 11월 14일
,택시,6300,비상금,2022년 11월 13일
,교회서 점심,7900,비상금,2022년 11월 12일
,병원,26000,생활비,2022년 11월 12일
,박진영과 맥도날드,12500,전도비,2022년 11월 11일
,아침,4000,비상금,2022년 11월 11일
,렌슨선생님 간식,2000,전도비,2022년 11월 11일
,점심,8500,식비,2022년 11월 11일
,아침,1500,비상금,2022년 11월 10일
,형제와 간식,4900,교제비,2022년 11월 10일
,점심,10000,식비,2022년 11월 10일
,편의점,1850,비상금,2022년 11월 9일
,점심,7000,식비,2022년 11월 9일
,간식,1000,비상금,2022년 11월 8일
,안경,155200,비상금,2022년 11월 8일
,안경값_2차,110000,비상금,2022년 11월 8일
,점심,7800,식비,2022년 11월 8일
,코레일 유통주식,5000,비상금,2022년 11월 7일
,보험,23560,생활비,2022년 11월 7일
,점심,8500,식비,2022년 11월 7일
,대헌이 생일,58070,전도비,2022년 11월 6일
,상훈b와 순대국,18000,교제비,2022년 11월 4일
,점심,8000,식비,2022년 11월 4일
,교통비,74900,생활비,2022년 11월 3일
,간식,3000,비상금,2022년 11월 2일
,점심,10000,식비,2022년 11월 2일
,호빵,16900,비상금,2022년 11월 1일
,비오틴,33480,비상금,2022년 11월 1일
,빵,10000,비상금,2022년 10월 31일
,안경,77600,비상금,2022년 10월 29일
,간식,8700,비상금,2022년 10월 28일
,치킨,21340,전도비,2022년 10월 28일
,저녁,2500,비상금,2022년 10월 28일
,점심,12000,식비,2022년 10월 28일
,점심,12500,식비,2022년 10월 27일
,구역회비,10000,교제비,2022년 10월 27일
,청년회비,10000,교제비,2022년 10월 27일
,찬양대 회비,10000,교제비,2022년 10월 27일
,주일헌금,20000,헌금,2022년 10월 27일
,십일조,216666,헌금,2022년 10월 27일
,레슨비,40000,생활비,2022년 10월 27일
,어머니,500000,생활비,2022년 10월 27일
,점심,6000,식비,2022년 10월 26일
,노션 1년치,71162,생활비,2022년 10월 26일
,점심,10000,식비,2022년 10월 25일
,머리,12000,생활비,2022년 10월 24일
,점심,7800,식비,2022년 10월 24일
,통신비,49140,생활비,2022년 10월 23일
,작은누나 생일,29900,교제비,2022년 10월 22일
,치킨,25220,전도비,2022년 10월 21일
,점심,10000,식비,2022년 10월 21일
,미상,24300,비상금,2022년 10월 20일
,택시,5400,비상금,2022년 10월 20일
,형제님과 간식,4800,교제비,2022년 10월 19일
,어머니 병원,79430,비상금,2022년 10월 17일
,점심,10000,식비,2022년 10월 17일
,편의점,2000,비상금,2022년 10월 16일
,택시,6400,비상금,2022년 10월 16일
,친구초대의날,15310,전도비,2022년 10월 16일
,박진영,15800,전도비,2022년 10월 14일
,렌슨 선생님 간식,5900,전도비,2022년 10월 14일
,승준이 커피,3800,전도비,2022년 10월 14일
,점심,9500,식비,2022년 10월 14일
,점심,7800,식비,2022년 10월 13일
,점심,10000,식비,2022년 10월 12일
,저녁,3500,비상금,2022년 10월 12일
,원석 b 커피,13500,교제비,2022년 10월 12일
,대헌이와 돈까스,30410,전도비,2022년 10월 11일
,점심,9000,식비,2022년 10월 11일
,택시,6000,비상금,2022년 10월 9일
,병원,26000,생활비,2022년 10월 8일
,점심,8200,비상금,2022년 10월 8일
,가습기,37000,비상금,2022년 10월 7일
,승준이 커피,3500,전도비,2022년 10월 7일
,렌슨선생님 간식,2950,전도비,2022년 10월 7일
,점심,1800,식비,2022년 10월 7일
,형제와 간식,8700,교제비,2022년 10월 6일
,점심,7800,식비,2022년 10월 6일
,교통비,39700,생활비,2022년 10월 6일
,아이들 용돈,50000,전도비,2022년 10월 5일
,간식,4000,비상금,2022년 10월 5일
,아이들 간식,9000,전도비,2022년 10월 5일
,보험,23560,생활비,2022년 10월 5일
,점심,10000,식비,2022년 10월 5일
,간식,7400,비상금,2022년 10월 4일
,점심,12500,식비,2022년 10월 4일
,승준이 커피,3800,전도비,2022년 10월 3일
,레슨선생님 간식,3000,전도비,2022년 10월 3일
,형제와 저녁,18000,교제비,2022년 10월 3일
,현금인출,30900,생활비,2022년 10월 2일
,대헌이 용돈,30000,전도비,2022년 10월 2일
,,,,2022년 10월 1일
,택시2,6800,비상금,2022년 10월 1일
,"심민영, 심가영 자매님 축의금",100000,교제비,2022년 10월 1일
,택시,6500,비상금,2022년 10월 1일
,출금 수수료,700,비상금,2022년 10월 1일
,택시,5700,비상금,2022년 9월 30일
,커피,11500,교제비,2022년 9월 29일
,레슨비,20000,생활비,2022년 9월 28일
,종민b생일,13500,교제비,2022년 9월 28일
,청년회비,10000,교제비,2022년 9월 25일
,주일헌금,20000,헌금,2022년 9월 25일
,십일조,216666,헌금,2022년 9월 25일
,찬양대 회비,10000,교제비,2022년 9월 25일
,어머니,600000,생활비,2022년 9월 25일
,구역회비,10000,교제비,2022년 9월 25일
,구역 전도,50000,전도비,2022년 9월 25일
,찬양대 교제,22000,교제비,2022년 9월 25일
,"정민b, 예준b 와 점심",52000,교제비,2022년 9월 25일
,헌금,10000,교제비,2022년 9월 25일
,"결산 지방세, 소득세",110,비상금,2022년 9월 25일
,김 문숙 자매님_병원비 지원,50000,교제비,2022년 9월 25일
,광명b 축의금,50000,교제비,2022년 9월 24일
,저녁,8000,비상금,2022년 9월 23일
,간식,3200,비상금,2022년 9월 23일
,형제와 간식,6050,교제비,2022년 9월 21일
,택시,6300,비상금,2022년 9월 18일
,택시,6400,비상금,2022년 9월 17일
,아이들 용돈,50000,전도비,2022년 9월 16일
,레슨선생님 간식,1650,전도비,2022년 9월 16일
,승준이 커피,3800,전도비,2022년 9월 16일
,점심,7500,식비,2022년 9월 16일
,간식,3650,비상금,2022년 9월 15일
,점심,12500,식비,2022년 9월 15일
,점심,9500,식비,2022년 9월 14일
,점심,10000,식비,2022년 9월 13일
,어머니 암막 커튼,26900,비상금,2022년 9월 12일
,머리,11640,생활비,2022년 9월 12일
,가족과 저녁,29190,전도비,2022년 9월 12일
,장원b c++책 사드림,10000,교제비,2022년 9월 12일
,간식,6650,비상금,2022년 9월 11일
,통신비,49140,생활비,2022년 9월 11일
,카페,18000,교제비,2022년 9월 10일
,가족과 치킨,47433,전도비,2022년 9월 9일
,가족과 저녁,37000,전도비,2022년 9월 8일
,뉴코아아울렛,5000,비상금,2022년 9월 8일
,점심,12700,식비,2022년 9월 8일
,간식,3700,비상금,2022년 9월 7일
,대헌이 용돈,20000,전도비,2022년 9월 7일
,점심,7800,식비,2022년 9월 6일
,간식,6980,비상금,2022년 9월 5일
,교통비,69150,생활비,2022년 9월 5일
,보험,23560,생활비,2022년 9월 5일
,택시,6500,비상금,2022년 9월 5일
,점심,10900,식비,2022년 9월 5일
,종근 b 축의금,50000,교제비,2022년 9월 3일
,택시,6500,비상금,2022년 9월 3일
,점심,7500,식비,2022년 9월 2일
,가족과 치킨,24250,전도비,2022년 9월 1일
,점심,13500,식비,2022년 9월 1일